EmployeeNumber,Age,Gender,BusinessTravel,DistanceFromHome,Education,EducationField,MaritalStatus,Department,JobRole,Attrition
430,43,Female,Travel_Frequently,10,4,Life Sciences,Single,Research & Development,Laboratory Technician,No
431,49,Female,Travel_Rarely,1,2,Technical Degree,Single,Research & Development,Healthcare Representative,No
433,52,Male,Travel_Rarely,8,4,Medical,Married,Research & Development,Research Scientist,Yes
434,27,Female,Travel_Rarely,5,3,Life Sciences,Single,Research & Development,Research Scientist,No
436,32,Female,Travel_Rarely,8,2,Technical Degree,Married,Sales,Sales Executive,No
437,27,Male,Travel_Rarely,2,3,Life Sciences,Single,Sales,Sales Executive,No
438,31,Male,Travel_Rarely,7,3,Marketing,Divorced,Sales,Sales Executive,No
439,32,Female,Travel_Rarely,2,4,Medical,Single,Research & Development,Research Scientist,No
440,28,Male,Travel_Rarely,2,4,Medical,Married,Research & Development,Research Scientist,Yes
441,30,Female,Travel_Rarely,28,2,Medical,Married,Research & Development,Research Scientist,No
442,31,Female,Travel_Frequently,7,2,Life Sciences,Married,Research & Development,Manufacturing Director,No
444,39,Male,Travel_Frequently,7,2,Medical,Married,Research & Development,Manager,No
445,39,Female,Travel_Rarely,3,2,Medical,Married,Sales,Sales Executive,Yes
446,33,Male,Travel_Frequently,10,3,Marketing,Single,Sales,Sales Executive,No
447,47,Male,Travel_Rarely,5,5,Life Sciences,Married,Research & Development,Research Director,No
448,43,Female,Travel_Frequently,10,4,Life Sciences,Divorced,Research & Development,Laboratory Technician,No
449,27,Male,Non-Travel,1,1,Marketing,Married,Sales,Sales Executive,No
450,54,Female,Travel_Frequently,20,4,Life Sciences,Single,Research & Development,Research Scientist,No
451,43,Female,Travel_Rarely,7,3,Life Sciences,Married,Research & Development,Healthcare Representative,No
452,45,Male,Travel_Rarely,8,4,Other,Married,Research & Development,Research Scientist,No
453,40,Male,Travel_Rarely,1,2,Medical,Married,Sales,Sales Executive,No
454,29,Male,Travel_Rarely,8,4,Other,Married,Research & Development,Laboratory Technician,Yes
455,29,Male,Travel_Rarely,9,5,Other,Single,Research & Development,Laboratory Technician,No
456,30,Female,Travel_Rarely,5,3,Marketing,Divorced,Sales,Sales Executive,No
458,27,Female,Travel_Rarely,8,4,Marketing,Married,Sales,Sales Executive,No
460,37,Male,Travel_Rarely,5,2,Medical,Divorced,Research & Development,Manufacturing Director,No
461,38,Male,Travel_Rarely,15,2,Life Sciences,Divorced,Research & Development,Research Director,No
462,31,Female,Travel_Rarely,7,4,Medical,Single,Research & Development,Manufacturing Director,No
463,29,Female,Travel_Rarely,10,1,Marketing,Divorced,Sales,Sales Executive,No
464,35,Male,Travel_Rarely,5,4,Technical Degree,Single,Research & Development,Manufacturing Director,No
465,23,Male,Travel_Rarely,26,1,Life Sciences,Divorced,Research & Development,Research Scientist,No
466,41,Male,Travel_Rarely,6,3,Medical,Single,Research & Development,Manufacturing Director,No
467,47,Male,Travel_Frequently,4,1,Medical,Single,Sales,Sales Representative,No
468,42,Female,Travel_Rarely,23,5,Life Sciences,Single,Research & Development,Research Director,No
469,29,Male,Non-Travel,2,3,Life Sciences,Married,Sales,Sales Executive,No
470,42,Male,Travel_Rarely,2,1,Technical Degree,Divorced,Human Resources,Human Resources,No
471,32,Female,Travel_Rarely,2,3,Medical,Married,Research & Development,Laboratory Technician,No
473,48,Female,Travel_Rarely,29,1,Medical,Married,Sales,Manager,No
474,37,Male,Travel_Rarely,6,3,Medical,Divorced,Research & Development,Research Scientist,No
475,30,Female,Non-Travel,25,2,Technical Degree,Married,Sales,Sales Executive,No
476,26,Male,Travel_Rarely,1,3,Life Sciences,Married,Sales,Sales Executive,No
477,42,Male,Travel_Rarely,2,4,Other,Single,Research & Development,Healthcare Representative,No
478,21,Female,Travel_Frequently,1,1,Technical Degree,Single,Sales,Sales Representative,Yes
479,36,Female,Non-Travel,1,5,Medical,Single,Sales,Sales Executive,No
481,36,Male,Travel_Frequently,3,4,Medical,Married,Sales,Sales Executive,No
482,57,Male,Travel_Rarely,1,4,Medical,Married,Research & Development,Healthcare Representative,No
483,40,Female,Travel_Rarely,10,4,Life Sciences,Married,Research & Development,Laboratory Technician,No
484,21,Male,Non-Travel,9,2,Medical,Single,Sales,Sales Representative,No
485,33,Female,Travel_Rarely,5,3,Marketing,Single,Sales,Sales Representative,Yes
486,37,Female,Travel_Rarely,10,3,Medical,Married,Research & Development,Laboratory Technician,No
487,46,Female,Non-Travel,7,4,Medical,Married,Research & Development,Manufacturing Director,No
488,41,Male,Travel_Frequently,4,3,Marketing,Single,Sales,Sales Executive,Yes
491,50,Male,Travel_Rarely,10,3,Technical Degree,Single,Research & Development,Healthcare Representative,No
492,40,Male,Travel_Rarely,22,2,Marketing,Married,Sales,Sales Executive,Yes
493,31,Male,Travel_Rarely,9,4,Life Sciences,Single,Research & Development,Research Scientist,No
494,21,Female,Travel_Rarely,12,3,Life Sciences,Single,Sales,Sales Representative,Yes
495,29,Male,Travel_Rarely,23,3,Life Sciences,Single,Research & Development,Research Scientist,No
496,35,Male,Travel_Rarely,9,4,Life Sciences,Single,Research & Development,Healthcare Representative,No
497,27,Male,Travel_Rarely,1,2,Medical,Divorced,Research & Development,Laboratory Technician,No
498,28,Male,Travel_Rarely,9,4,Life Sciences,Single,Sales,Sales Executive,No
499,49,Male,Travel_Rarely,7,3,Other,Single,Research & Development,Healthcare Representative,No
500,51,Female,Travel_Rarely,14,2,Life Sciences,Married,Sales,Sales Executive,No
501,36,Female,Travel_Rarely,2,3,Life Sciences,Married,Research & Development,Research Scientist,No
502,34,Male,Non-Travel,19,3,Marketing,Single,Sales,Sales Executive,Yes
505,55,Female,Travel_Rarely,2,3,Life Sciences,Single,Research & Development,Manager,No
507,24,Female,Travel_Rarely,10,4,Marketing,Divorced,Sales,Sales Executive,No
508,30,Male,Travel_Rarely,2,1,Technical Degree,Married,Sales,Sales Representative,No
510,26,Male,Travel_Frequently,3,1,Technical Degree,Single,Research & Development,Research Scientist,Yes
511,22,Female,Travel_Rarely,11,3,Medical,Married,Research & Development,Research Scientist,No
513,36,Male,Travel_Rarely,2,2,Medical,Married,Sales,Sales Executive,No
514,30,Male,Travel_Frequently,4,3,Technical Degree,Single,Research & Development,Research Scientist,Yes
515,37,Female,Travel_Rarely,14,3,Life Sciences,Divorced,Research & Development,Laboratory Technician,No
516,40,Female,Travel_Rarely,2,2,Marketing,Divorced,Sales,Sales Executive,No
517,42,Female,Travel_Rarely,1,4,Life Sciences,Divorced,Research & Development,Laboratory Technician,No
518,37,Male,Travel_Rarely,10,4,Life Sciences,Single,Research & Development,Manufacturing Director,No
520,43,Male,Travel_Rarely,12,3,Life Sciences,Divorced,Research & Development,Research Director,No
521,40,Female,Travel_Rarely,2,3,Medical,Married,Research & Development,Laboratory Technician,No
522,54,Male,Travel_Rarely,5,2,Medical,Married,Research & Development,Research Director,No
523,34,Female,Non-Travel,4,4,Marketing,Married,Sales,Sales Executive,No
524,31,Female,Travel_Rarely,7,2,Medical,Married,Research & Development,Manufacturing Director,No
525,43,Male,Travel_Frequently,21,3,Medical,Married,Research & Development,Laboratory Technician,No
526,43,Female,Travel_Rarely,8,4,Other,Divorced,Research & Development,Healthcare Representative,No
527,25,Female,Travel_Rarely,4,2,Life Sciences,Single,Sales,Sales Executive,No
529,37,Female,Non-Travel,25,5,Medical,Married,Research & Development,Research Scientist,No
530,31,Male,Travel_Rarely,1,2,Life Sciences,Married,Research & Development,Laboratory Technician,No
531,39,Male,Travel_Frequently,1,1,Life Sciences,Divorced,Research & Development,Manager,No
532,56,Female,Travel_Frequently,6,3,Life Sciences,Married,Sales,Sales Executive,No
533,30,Female,Travel_Rarely,12,3,Technical Degree,Single,Sales,Sales Executive,No
534,41,Male,Travel_Rarely,1,3,Marketing,Married,Sales,Sales Executive,No
536,28,Male,Travel_Rarely,17,2,Medical,Divorced,Research & Development,Laboratory Technician,No
538,25,Male,Travel_Rarely,3,3,Medical,Married,Research & Development,Laboratory Technician,Yes
543,52,Male,Travel_Rarely,3,3,Medical,Married,Research & Development,Manufacturing Director,No
544,45,Male,Travel_Rarely,10,2,Life Sciences,Married,Research & Development,Research Scientist,No
546,52,Female,Travel_Rarely,4,2,Life Sciences,Married,Research & Development,Manager,No
547,42,Female,Travel_Frequently,29,2,Life Sciences,Divorced,Research & Development,Research Scientist,No
548,30,Female,Travel_Rarely,2,3,Life Sciences,Single,Research & Development,Manufacturing Director,No
549,60,Female,Travel_Rarely,7,3,Life Sciences,Married,Research & Development,Manager,No
550,46,Female,Travel_Rarely,18,3,Medical,Divorced,Research & Development,Manufacturing Director,No
551,42,Female,Travel_Frequently,28,4,Technical Degree,Married,Research & Development,Healthcare Representative,No
554,24,Female,Travel_Rarely,1,1,Technical Degree,Single,Sales,Sales Representative,Yes
555,34,Female,Travel_Frequently,6,2,Marketing,Divorced,Sales,Sales Representative,Yes
556,38,Male,Travel_Frequently,2,2,Life Sciences,Married,Research & Development,Laboratory Technician,No
558,40,Female,Travel_Rarely,2,4,Life Sciences,Married,Sales,Manager,No
560,26,Female,Travel_Rarely,23,3,Life Sciences,Divorced,Research & Development,Research Scientist,No
562,30,Male,Non-Travel,3,3,Life Sciences,Married,Research & Development,Laboratory Technician,No
564,29,Male,Travel_Rarely,3,4,Medical,Married,Research & Development,Research Director,No
565,29,Female,Travel_Rarely,25,5,Technical Degree,Married,Research & Development,Research Scientist,Yes
566,19,Male,Travel_Rarely,2,2,Technical Degree,Single,Human Resources,Human Resources,Yes
567,30,Female,Non-Travel,22,4,Other,Married,Sales,Sales Executive,No
568,57,Male,Travel_Rarely,29,3,Marketing,Divorced,Sales,Manager,No
569,50,Male,Travel_Rarely,29,4,Life Sciences,Married,Research & Development,Manager,No
571,30,Female,Non-Travel,2,3,Medical,Single,Research & Development,Laboratory Technician,No
573,60,Female,Travel_Frequently,28,3,Marketing,Married,Sales,Sales Executive,No
574,47,Female,Travel_Rarely,2,2,Medical,Divorced,Research & Development,Manufacturing Director,No
575,46,Male,Travel_Rarely,2,3,Life Sciences,Married,Research & Development,Research Director,No
577,35,Male,Travel_Rarely,22,3,Life Sciences,Single,Research & Development,Laboratory Technician,No
578,54,Female,Travel_Rarely,8,4,Life Sciences,Single,Research & Development,Laboratory Technician,No
579,34,Male,Travel_Rarely,2,4,Life Sciences,Divorced,Research & Development,Research Scientist,No
580,46,Female,Travel_Rarely,10,3,Marketing,Married,Sales,Sales Executive,No
581,31,Male,Travel_Rarely,9,1,Life Sciences,Divorced,Research & Development,Manufacturing Director,No
582,33,Male,Travel_Rarely,15,1,Medical,Married,Research & Development,Manager,Yes
584,33,Male,Travel_Rarely,10,1,Medical,Divorced,Research & Development,Laboratory Technician,Yes
585,30,Male,Travel_Rarely,7,1,Marketing,Single,Sales,Sales Representative,No
586,35,Male,Travel_Rarely,16,3,Life Sciences,Married,Research & Development,Healthcare Representative,No
587,31,Male,Travel_Frequently,20,3,Life Sciences,Married,Research & Development,Healthcare Representative,Yes
590,34,Female,Travel_Frequently,23,3,Human Resources,Divorced,Human Resources,Human Resources,Yes
591,42,Male,Travel_Frequently,5,2,Other,Married,Research & Development,Laboratory Technician,No
592,36,Male,Non-Travel,10,4,Medical,Single,Sales,Sales Executive,No
593,22,Male,Travel_Frequently,4,1,Technical Degree,Single,Research & Development,Laboratory Technician,Yes
595,48,Female,Travel_Rarely,2,5,Marketing,Married,Sales,Sales Executive,No
597,55,Female,Travel_Rarely,18,5,Life Sciences,Single,Sales,Manager,No
599,41,Male,Non-Travel,10,2,Life Sciences,Single,Sales,Sales Executive,No
600,35,Male,Travel_Rarely,1,3,Marketing,Married,Sales,Sales Executive,No
601,40,Female,Travel_Rarely,6,3,Life Sciences,Single,Research & Development,Manufacturing Director,No
602,39,Female,Travel_Frequently,8,1,Life Sciences,Married,Research & Development,Laboratory Technician,No
604,31,Male,Travel_Rarely,2,1,Life Sciences,Single,Sales,Sales Executive,No
605,42,Male,Travel_Rarely,24,3,Medical,Married,Research & Development,Manufacturing Director,No
606,45,Male,Travel_Rarely,2,3,Other,Married,Sales,Sales Executive,No
608,26,Female,Travel_Frequently,17,4,Life Sciences,Divorced,Human Resources,Human Resources,Yes
611,29,Male,Travel_Rarely,19,3,Technical Degree,Divorced,Research & Development,Manufacturing Director,No
612,33,Female,Travel_Rarely,1,5,Medical,Divorced,Research & Development,Research Director,No
613,31,Male,Travel_Rarely,7,3,Life Sciences,Divorced,Sales,Manager,No
614,18,Male,Travel_Frequently,5,3,Marketing,Single,Sales,Sales Representative,Yes
615,40,Male,Non-Travel,28,3,Other,Divorced,Sales,Sales Executive,No
616,41,Female,Non-Travel,2,4,Other,Single,Research & Development,Healthcare Representative,No
618,26,Male,Travel_Rarely,29,2,Medical,Divorced,Sales,Sales Executive,No
620,35,Female,Travel_Rarely,1,3,Medical,Single,Sales,Sales Executive,No
621,34,Male,Travel_Rarely,21,4,Life Sciences,Single,Sales,Sales Executive,No
622,26,Male,Travel_Rarely,24,3,Technical Degree,Single,Research & Development,Laboratory Technician,Yes
623,37,Female,Travel_Rarely,1,3,Technical Degree,Single,Research & Development,Manufacturing Director,No
624,46,Female,Travel_Frequently,18,1,Medical,Married,Research & Development,Healthcare Representative,No
625,41,Female,Travel_Rarely,2,5,Life Sciences,Married,Sales,Manager,No
626,37,Male,Non-Travel,9,4,Medical,Divorced,Sales,Sales Executive,No
630,52,Male,Travel_Rarely,6,2,Technical Degree,Divorced,Research & Development,Research Scientist,No
631,32,Male,Non-Travel,11,4,Other,Married,Sales,Sales Executive,Yes
632,24,Male,Travel_Frequently,24,3,Medical,Married,Sales,Sales Representative,No
634,38,Female,Travel_Rarely,10,3,Medical,Married,Research & Development,Healthcare Representative,No
635,37,Female,Travel_Rarely,1,4,Life Sciences,Married,Research & Development,Manufacturing Director,No
638,49,Male,Travel_Rarely,18,4,Life Sciences,Divorced,Research & Development,Research Director,No
639,24,Male,Travel_Rarely,23,3,Medical,Married,Research & Development,Research Scientist,No
641,26,Male,Travel_Rarely,28,2,Marketing,Married,Sales,Sales Executive,No
643,24,Male,Travel_Rarely,17,2,Other,Married,Research & Development,Laboratory Technician,No
644,50,Male,Travel_Frequently,3,3,Medical,Married,Human Resources,Manager,No
645,25,Male,Travel_Rarely,13,1,Medical,Married,Sales,Sales Representative,No
647,24,Female,Travel_Frequently,7,3,Life Sciences,Married,Research & Development,Laboratory Technician,Yes
648,30,Male,Travel_Frequently,12,4,Life Sciences,Married,Sales,Sales Representative,Yes
649,34,Male,Travel_Rarely,1,2,Life Sciences,Married,Research & Development,Research Scientist,No
650,31,Male,Travel_Rarely,13,4,Medical,Divorced,Sales,Sales Executive,Yes
652,35,Male,Travel_Rarely,25,2,Other,Single,Research & Development,Laboratory Technician,No
653,31,Male,Travel_Rarely,6,4,Medical,Divorced,Sales,Sales Executive,No
655,27,Female,Travel_Rarely,6,4,Medical,Divorced,Research & Development,Research Scientist,No
656,37,Male,Travel_Rarely,2,3,Marketing,Married,Sales,Sales Executive,No
657,20,Female,Travel_Rarely,1,3,Life Sciences,Single,Research & Development,Research Scientist,No
659,42,Female,Travel_Rarely,2,4,Life Sciences,Married,Research & Development,Healthcare Representative,No
661,43,Male,Travel_Rarely,6,4,Other,Divorced,Research & Development,Research Director,No
662,38,Female,Travel_Rarely,1,1,Life Sciences,Single,Research & Development,Research Scientist,No
663,43,Male,Travel_Frequently,9,5,Medical,Divorced,Research & Development,Laboratory Technician,No
664,48,Female,Travel_Rarely,1,4,Life Sciences,Married,Research & Development,Manager,No
665,44,Female,Travel_Rarely,1,4,Life Sciences,Single,Human Resources,Human Resources,No
666,34,Female,Travel_Rarely,14,3,Technical Degree,Divorced,Sales,Sales Representative,No
667,27,Male,Travel_Rarely,2,1,Marketing,Divorced,Sales,Sales Representative,Yes
669,21,Male,Travel_Rarely,22,1,Technical Degree,Single,Sales,Sales Representative,No
671,44,Male,Travel_Rarely,3,4,Other,Married,Research & Development,Manager,No
675,22,Male,Travel_Rarely,6,1,Medical,Married,Research & Development,Research Scientist,No
677,33,Male,Travel_Rarely,8,4,Marketing,Divorced,Sales,Sales Executive,No
679,32,Female,Travel_Rarely,9,4,Life Sciences,Married,Research & Development,Research Scientist,No
680,30,Female,Travel_Frequently,3,3,Medical,Divorced,Research & Development,Research Scientist,No
682,53,Female,Travel_Rarely,1,1,Medical,Single,Sales,Sales Executive,No
683,34,Male,Travel_Rarely,1,5,Life Sciences,Married,Research & Development,Research Scientist,No
684,45,Female,Travel_Frequently,26,4,Life Sciences,Married,Sales,Sales Executive,Yes
686,26,Female,Travel_Rarely,6,3,Life Sciences,Married,Research & Development,Laboratory Technician,No
689,37,Male,Travel_Rarely,3,3,Other,Married,Research & Development,Manufacturing Director,No
690,29,Female,Travel_Rarely,3,2,Medical,Married,Sales,Sales Executive,No
691,35,Male,Travel_Rarely,6,4,Life Sciences,Single,Research & Development,Research Scientist,No
692,33,Male,Travel_Frequently,6,3,Life Sciences,Divorced,Research & Development,Healthcare Representative,No
698,54,Male,Travel_Rarely,19,4,Medical,Married,Human Resources,Human Resources,No
699,36,Male,Travel_Rarely,9,2,Medical,Divorced,Research & Development,Manufacturing Director,No
700,27,Male,Travel_Rarely,3,4,Medical,Single,Research & Development,Research Scientist,No
701,20,Male,Travel_Rarely,10,1,Medical,Single,Research & Development,Research Scientist,Yes
702,33,Male,Travel_Frequently,3,3,Life Sciences,Single,Research & Development,Research Scientist,Yes
704,35,Male,Non-Travel,3,3,Life Sciences,Married,Research & Development,Laboratory Technician,No
705,23,Male,Travel_Rarely,4,3,Medical,Married,Research & Development,Research Scientist,No
707,25,Male,Travel_Rarely,8,3,Life Sciences,Married,Sales,Sales Executive,No
709,38,Female,Travel_Rarely,7,4,Marketing,Single,Sales,Sales Executive,No
710,29,Male,Travel_Frequently,1,4,Life Sciences,Divorced,Research & Development,Research Scientist,No
712,48,Male,Travel_Rarely,2,1,Marketing,Married,Sales,Sales Executive,No
714,27,Female,Travel_Frequently,3,1,Medical,Divorced,Sales,Sales Executive,No
715,37,Male,Travel_Rarely,10,2,Life Sciences,Single,Research & Development,Research Scientist,No
716,50,Male,Travel_Rarely,28,1,Medical,Married,Research & Development,Laboratory Technician,No
717,34,Female,Travel_Rarely,9,3,Medical,Single,Research & Development,Healthcare Representative,No
720,24,Female,Travel_Rarely,3,2,Life Sciences,Single,Sales,Sales Executive,Yes
721,39,Female,Travel_Rarely,2,4,Technical Degree,Single,Research & Development,Healthcare Representative,No
722,32,Male,Travel_Rarely,10,3,Marketing,Single,Sales,Sales Executive,No
723,50,Male,Travel_Frequently,8,2,Technical Degree,Married,Sales,Sales Executive,Yes
724,38,Female,Travel_Rarely,1,4,Life Sciences,Single,Research & Development,Healthcare Representative,No
725,27,Female,Travel_Rarely,1,2,Life Sciences,Married,Research & Development,Manufacturing Director,No
727,32,Female,Travel_Rarely,3,2,Life Sciences,Single,Research & Development,Research Director,No
728,47,Male,Travel_Rarely,14,4,Marketing,Single,Sales,Sales Executive,No
729,40,Male,Travel_Frequently,5,4,Life Sciences,Married,Sales,Sales Executive,No
730,53,Male,Travel_Rarely,7,3,Life Sciences,Married,Research & Development,Research Director,No
731,41,Male,Travel_Rarely,10,4,Human Resources,Divorced,Human Resources,Manager,No
732,60,Male,Travel_Rarely,16,4,Marketing,Single,Sales,Sales Executive,No
733,27,Male,Travel_Frequently,10,2,Life Sciences,Divorced,Research & Development,Manufacturing Director,No
734,41,Male,Travel_Rarely,1,3,Human Resources,Married,Human Resources,Manager,No
738,50,Male,Travel_Rarely,8,4,Marketing,Married,Sales,Sales Representative,No
741,28,Female,Travel_Rarely,1,2,Life Sciences,Single,Research & Development,Research Scientist,Yes
742,36,Female,Non-Travel,8,3,Life Sciences,Married,Research & Development,Research Director,No
743,38,Female,Travel_Rarely,1,3,Life Sciences,Single,Research & Development,Manufacturing Director,No
744,44,Male,Non-Travel,24,3,Medical,Single,Research & Development,Laboratory Technician,No
746,47,Female,Travel_Frequently,3,3,Medical,Divorced,Sales,Sales Executive,No
747,30,Male,Travel_Rarely,27,5,Marketing,Divorced,Sales,Sales Executive,No
749,29,Male,Travel_Rarely,10,3,Life Sciences,Single,Sales,Sales Representative,No
752,42,Male,Travel_Frequently,19,3,Medical,Divorced,Research & Development,Research Scientist,Yes
754,43,Male,Travel_Frequently,15,3,Life Sciences,Married,Sales,Sales Executive,No
757,34,Female,Travel_Rarely,8,2,Medical,Single,Research & Development,Healthcare Representative,No
758,23,Male,Travel_Rarely,9,1,Medical,Married,Research & Development,Laboratory Technician,No
760,39,Female,Travel_Rarely,3,3,Human Resources,Married,Human Resources,Human Resources,No
762,56,Male,Travel_Rarely,9,3,Medical,Married,Research & Development,Healthcare Representative,No
763,40,Female,Travel_Rarely,2,1,Medical,Single,Research & Development,Research Scientist,No
764,27,Female,Travel_Rarely,7,3,Medical,Single,Research & Development,Healthcare Representative,No
766,29,Male,Travel_Rarely,10,3,Marketing,Divorced,Sales,Sales Representative,No
769,53,Male,Travel_Rarely,6,3,Life Sciences,Single,Research & Development,Laboratory Technician,No
771,35,Female,Non-Travel,2,4,Life Sciences,Divorced,Research & Development,Healthcare Representative,No
772,32,Male,Travel_Frequently,24,4,Life Sciences,Married,Research & Development,Laboratory Technician,No
773,38,Male,Travel_Rarely,2,5,Medical,Married,Research & Development,Research Scientist,No
775,34,Female,Travel_Rarely,8,5,Life Sciences,Divorced,Research & Development,Manufacturing Director,No
776,52,Male,Travel_Rarely,3,4,Marketing,Married,Sales,Manager,No
780,33,Male,Travel_Rarely,1,4,Other,Single,Research & Development,Research Scientist,Yes
781,25,Female,Travel_Rarely,26,1,Medical,Single,Sales,Sales Executive,No
783,45,Male,Travel_Rarely,2,2,Technical Degree,Single,Sales,Sales Representative,No
784,23,Male,Travel_Rarely,10,1,Medical,Single,Research & Development,Research Scientist,No
785,47,Female,Travel_Frequently,27,2,Life Sciences,Single,Sales,Sales Executive,Yes
786,34,Male,Travel_Rarely,2,3,Other,Single,Sales,Sales Executive,No
787,55,Male,Travel_Rarely,2,3,Medical,Married,Research & Development,Manager,Yes
789,36,Male,Non-Travel,8,4,Life Sciences,Single,Sales,Sales Executive,No
791,52,Male,Non-Travel,19,4,Medical,Married,Research & Development,Research Scientist,No
792,26,Female,Travel_Frequently,1,2,Life Sciences,Divorced,Research & Development,Laboratory Technician,No
793,29,Female,Travel_Rarely,27,3,Medical,Married,Research & Development,Healthcare Representative,No
796,26,Male,Travel_Rarely,8,3,Technical Degree,Single,Sales,Sales Executive,Yes
797,34,Female,Travel_Rarely,1,4,Life Sciences,Single,Research & Development,Research Scientist,No
799,54,Female,Travel_Rarely,19,4,Medical,Divorced,Research & Development,Manufacturing Director,No
800,27,Male,Travel_Frequently,8,1,Marketing,Married,Sales,Sales Executive,No
802,37,Female,Travel_Rarely,10,1,Life Sciences,Divorced,Research & Development,Research Scientist,No
803,38,Female,Travel_Frequently,2,4,Life Sciences,Single,Research & Development,Manufacturing Director,No
804,34,Female,Travel_Rarely,2,4,Medical,Single,Research & Development,Research Scientist,No
805,35,Female,Travel_Rarely,8,4,Life Sciences,Married,Sales,Sales Representative,No
806,30,Male,Travel_Rarely,1,3,Life Sciences,Married,Research & Development,Laboratory Technician,No
807,40,Female,Travel_Frequently,2,2,Medical,Married,Research & Development,Healthcare Representative,No
808,34,Female,Travel_Rarely,8,2,Life Sciences,Married,Sales,Sales Executive,No
809,42,Male,Travel_Frequently,8,3,Life Sciences,Divorced,Research & Development,Manager,No
811,23,Male,Travel_Rarely,6,3,Life Sciences,Married,Research & Development,Laboratory Technician,Yes
812,24,Male,Non-Travel,9,3,Life Sciences,Divorced,Research & Development,Laboratory Technician,No
813,52,Female,Travel_Rarely,11,4,Life Sciences,Married,Research & Development,Laboratory Technician,No
815,50,Male,Travel_Rarely,2,3,Medical,Married,Research & Development,Research Director,No
816,29,Female,Travel_Rarely,1,2,Life Sciences,Married,Research & Development,Laboratory Technician,Yes
817,33,Male,Travel_Rarely,7,3,Medical,Married,Research & Development,Research Director,No
819,33,Female,Travel_Rarely,16,3,Marketing,Single,Sales,Sales Executive,Yes
820,47,Female,Travel_Rarely,2,2,Other,Married,Research & Development,Manager,No
823,36,Female,Travel_Rarely,1,3,Other,Married,Research & Development,Manufacturing Director,No
824,29,Male,Travel_Rarely,23,2,Life Sciences,Married,Research & Development,Research Scientist,No
825,58,Male,Travel_Rarely,2,4,Life Sciences,Single,Research & Development,Research Director,Yes
826,35,Female,Travel_Rarely,1,4,Life Sciences,Single,Research & Development,Research Scientist,No
827,42,Female,Travel_Rarely,1,2,Life Sciences,Married,Research & Development,Manufacturing Director,No
828,28,Male,Travel_Rarely,2,4,Medical,Single,Research & Development,Research Scientist,Yes
829,36,Male,Travel_Rarely,13,3,Human Resources,Married,Human Resources,Human Resources,No
830,32,Female,Travel_Rarely,4,3,Life Sciences,Married,Research & Development,Manufacturing Director,No
832,40,Male,Travel_Frequently,16,4,Medical,Single,Research & Development,Laboratory Technician,No
833,30,Female,Travel_Rarely,2,3,Medical,Single,Research & Development,Manufacturing Director,No
834,45,Female,Travel_Rarely,2,3,Life Sciences,Single,Research & Development,Research Scientist,No
836,42,Male,Travel_Rarely,29,3,Life Sciences,Married,Research & Development,Manufacturing Director,No
837,38,Male,Travel_Frequently,12,3,Life Sciences,Divorced,Research & Development,Healthcare Representative,No
838,34,Female,Travel_Frequently,16,4,Life Sciences,Single,Research & Development,Research Scientist,No
840,49,Female,Travel_Rarely,11,3,Marketing,Married,Sales,Sales Executive,Yes
842,55,Male,Travel_Rarely,2,1,Medical,Single,Sales,Sales Executive,Yes
843,43,Male,Travel_Rarely,14,2,Life Sciences,Married,Research & Development,Research Director,No
844,27,Male,Travel_Rarely,5,1,Technical Degree,Divorced,Research & Development,Research Director,No
845,35,Male,Travel_Rarely,7,3,Other,Single,Research & Development,Manufacturing Director,No
846,28,Female,Travel_Rarely,2,4,Marketing,Married,Sales,Sales Executive,No
847,34,Male,Travel_Rarely,3,2,Human Resources,Married,Human Resources,Human Resources,No
848,26,Female,Travel_Frequently,5,2,Medical,Married,Research & Development,Research Scientist,Yes
850,27,Male,Non-Travel,3,3,Medical,Married,Research & Development,Research Scientist,No
851,51,Female,Travel_Rarely,26,4,Marketing,Married,Sales,Manager,No
852,44,Male,Travel_Rarely,4,3,Medical,Single,Research & Development,Healthcare Representative,No
854,25,Male,Travel_Rarely,2,1,Medical,Single,Research & Development,Research Scientist,No
855,33,Male,Travel_Rarely,1,3,Medical,Divorced,Sales,Sales Executive,No
856,35,Female,Travel_Rarely,27,1,Medical,Single,Research & Development,Research Scientist,No
857,36,Male,Travel_Rarely,1,2,Life Sciences,Married,Sales,Sales Executive,No
859,32,Male,Travel_Rarely,13,4,Life Sciences,Divorced,Sales,Sales Executive,No
861,30,Male,Travel_Frequently,5,4,Life Sciences,Divorced,Research & Development,Research Scientist,No
862,53,Female,Travel_Rarely,7,2,Marketing,Married,Sales,Sales Executive,No
864,45,Male,Travel_Rarely,9,3,Marketing,Divorced,Sales,Sales Executive,No
865,32,Female,Travel_Rarely,8,2,Medical,Married,Research & Development,Research Scientist,No
867,52,Female,Travel_Frequently,25,4,Medical,Married,Research & Development,Manufacturing Director,No
868,37,Male,Travel_Rarely,16,4,Marketing,Divorced,Sales,Sales Executive,No
869,28,Male,Travel_Rarely,8,2,Medical,Divorced,Human Resources,Human Resources,No
872,22,Male,Travel_Rarely,1,2,Life Sciences,Married,Research & Development,Manufacturing Director,No
874,44,Male,Travel_Rarely,8,4,Life Sciences,Married,Research & Development,Laboratory Technician,No
875,42,Male,Travel_Frequently,2,1,Medical,Single,Research & Development,Research Scientist,No
